x,f(x),f'(x),e(x)
-4,-588.2,892.8,3.2,
-3.94631,-75.4,224.8,3.2,
-3.89262,-75.4,224.8,3.2,
-3.83893,-75.4,224.8,3.2,
-3.78523,-75.4,224.8,3.2,
-3.73154,-75.4,224.8,3.2,
-3.67785,-75.4,224.8,3.2,
-3.62416,-75.4,224.8,3.2,
-3.57047,-75.4,224.8,3.2,
-3.51678,-75.4,224.8,3.2,
-3.46309,-75.4,224.8,3.2,
-3.4094,-75.4,224.8,3.2,
-3.3557,-75.4,224.8,3.2,
-3.30201,-75.4,224.8,3.2,
-3.24832,-75.4,224.8,3.2,
-3.19463,-75.4,224.8,3.2,
-3.14094,-75.4,224.8,3.2,
-3.08725,-75.4,224.8,3.2,
-3.03356,-75.4,224.8,3.2,
-2.97987,13.4,-3.2,3.2,
-2.92617,13.4,-3.2,3.2,
-2.87248,13.4,-3.2,3.2,
-2.81879,13.4,-3.2,3.2,
-2.7651,13.4,-3.2,3.2,
-2.71141,13.4,-3.2,3.2,
-2.65772,13.4,-3.2,3.2,
-2.60403,13.4,-3.2,3.2,
-2.55034,13.4,-3.2,3.2,
-2.49664,13.4,-3.2,3.2,
-2.44295,13.4,-3.2,3.2,
-2.38926,13.4,-3.2,3.2,
-2.33557,13.4,-3.2,3.2,
-2.28188,13.4,-3.2,3.2,
-2.22819,13.4,-3.2,3.2,
-2.1745,13.4,-3.2,3.2,
-2.12081,13.4,-3.2,3.2,
-2.06711,13.4,-3.2,3.2,
-2.01342,13.4,-3.2,3.2,
-1.95973,-9.8,-29.8,1.8,
-1.90604,-9.8,-29.8,1.8,
-1.85235,-9.8,-29.8,1.8,
-1.79866,-9.8,-29.8,1.8,
-1.74497,-9.8,-29.8,1.8,
-1.69128,-9.8,-29.8,1.8,
-1.63758,-9.8,-29.8,1.8,
-1.58389,-9.8,-29.8,1.8,
-1.5302,-9.8,-29.8,1.8,
-1.47651,-9.8,-29.8,1.8,
-1.42282,-9.8,-29.8,1.8,
-1.36913,-9.8,-29.8,1.8,
-1.31544,-9.8,-29.8,1.8,
-1.26174,-9.8,-29.8,1.8,
-1.20805,-9.8,-29.8,1.8,
-1.15436,-9.8,-29.8,1.8,
-1.10067,-9.8,-29.8,1.8,
-1.04698,-9.8,-29.8,1.8,
-0.993289,-25,-8.33333,8.33333,
-0.939597,-25,-8.33333,8.33333,
-0.885906,-25,-8.33333,8.33333,
-0.832215,-25,-8.33333,8.33333,
-0.778523,-25,-8.33333,8.33333,
-0.724832,-25,-8.33333,8.33333,
-0.671141,-25,-8.33333,8.33333,
-0.61745,-25,-8.33333,8.33333,
-0.563758,-25,-8.33333,8.33333,
-0.510067,-25,-8.33333,8.33333,
-0.456376,-25,-8.33333,8.33333,
-0.402685,-25,-8.33333,8.33333,
-0.348993,-25,-8.33333,8.33333,
-0.295302,-25,-8.33333,8.33333,
-0.241611,-25,-8.33333,8.33333,
-0.187919,-25,-8.33333,8.33333,
-0.134228,-25,-8.33333,8.33333,
-0.0805369,-25,-8.33333,8.33333,
-0.0268456,-25,-8.33333,8.33333,
0.0268456,-25,5,5,
0.0805369,-25,5,5,
0.134228,-25,5,5,
0.187919,-25,5,5,
0.241611,-25,5,5,
0.295302,-25,5,5,
0.348993,-25,5,5,
0.402685,-25,5,5,
0.456376,-25,5,5,
0.510067,-25,5,5,
0.563758,-25,5,5,
0.61745,-25,5,5,
0.671141,-25,5,5,
0.724832,-25,5,5,
0.778523,-25,5,5,
0.832215,-25,5,5,
0.885906,-25,5,5,
0.939597,-25,5,5,
0.993289,-25,5,5,
1.04698,-8.2,31.5333,4.46667,
1.10067,-8.2,31.5333,4.46667,
1.15436,-8.2,31.5333,4.46667,
1.20805,-8.2,31.5333,4.46667,
1.26174,-8.2,31.5333,4.46667,
1.31544,-8.2,31.5333,4.46667,
1.36913,-8.2,31.5333,4.46667,
1.42282,-8.2,31.5333,4.46667,
1.47651,-8.2,31.5333,4.46667,
1.5302,-8.2,31.5333,4.46667,
1.58389,-8.2,31.5333,4.46667,
1.63758,-8.2,31.5333,4.46667,
1.69128,-8.2,31.5333,4.46667,
1.74497,-8.2,31.5333,4.46667,
1.79866,-8.2,31.5333,4.46667,
1.85235,-8.2,31.5333,4.46667,
1.90604,-8.2,31.5333,4.46667,
1.95973,-8.2,31.5333,4.46667,
2.01342,64.6,124.8,3.2,
2.06711,64.6,124.8,3.2,
2.12081,64.6,124.8,3.2,
2.1745,64.6,124.8,3.2,
2.22819,64.6,124.8,3.2,
2.28188,64.6,124.8,3.2,
2.33557,64.6,124.8,3.2,
2.38926,64.6,124.8,3.2,
2.44295,64.6,124.8,3.2,
2.49664,64.6,124.8,3.2,
2.55034,64.6,124.8,3.2,
2.60403,64.6,124.8,3.2,
2.65772,64.6,124.8,3.2,
2.71141,64.6,124.8,3.2,
2.7651,64.6,124.8,3.2,
2.81879,64.6,124.8,3.2,
2.87248,64.6,124.8,3.2,
2.92617,64.6,124.8,3.2,
2.97987,64.6,124.8,3.2,
3.03356,313.4,416.8,3.2,
3.08725,313.4,416.8,3.2,
3.14094,313.4,416.8,3.2,
3.19463,313.4,416.8,3.2,
3.24832,313.4,416.8,3.2,
3.30201,313.4,416.8,3.2,
3.3557,313.4,416.8,3.2,
3.4094,313.4,416.8,3.2,
3.46309,313.4,416.8,3.2,
3.51678,313.4,416.8,3.2,
3.57047,313.4,416.8,3.2,
3.62416,313.4,416.8,3.2,
3.67785,313.4,416.8,3.2,
3.73154,313.4,416.8,3.2,
3.78523,313.4,416.8,3.2,
3.83893,313.4,416.8,3.2,
3.89262,313.4,416.8,3.2,
3.94631,313.4,416.8,3.2,
4,1050.2,1148.8,3.2,
